City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Muroto,JP,44.64,overcast clouds,33.2833,134.15,Oota Ryokan
5,Aswan,EG,56.34,clear sky,24.0934,32.907,Nuba Nile
6,Albany,US,36.48,scattered clouds,42.6001,-73.9662,
13,Hanzhong,CN,36.27,clear sky,33.0728,107.0303,Guorui Hotel
16,Sabha,LY,52.02,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
18,Mataura,NZ,51.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
19,Dunedin,NZ,50.81,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
24,Shahr-E Kord,IR,35.37,broken clouds,32.3256,50.8644,Shahrekord Tourist Hotel
27,Kutum,SD,58.53,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
34,Ushuaia,AR,47.86,few clouds,-54.8,-68.3,Albatross Hotel
35,Yakima,US,54.55,clear sky,46.4665,-120.6678,
44,Punta Arenas,CL,53.71,broken clouds,-53.15,-70.9167,Hotel Hain
54,Torbay,CA,47.75,overcast clouds,47.6666,-52.7314,Gallows Cove
57,Komsomolskiy,UZ,38.62,fog,40.4272,71.7189,Ikathouse
59,Sitka,US,42.69,broken clouds,57.0531,-135.33,Westmark Sitka
69,Zhaotong,CN,29.91,light snow,27.3167,103.7167,Jingguan Home
75,Melilla,ES,53.98,few clouds,35.2937,-2.9383,Hotel Anfora
76,Havre-Saint-Pierre,CA,32.59,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
86,Bluff,NZ,51.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
94,Atherton,GB,47.75,overcast clouds,53.5237,-2.4935,The Lion Inn
96,Termiz,UZ,41.09,clear sky,37.2242,67.2783,Hotel Ulugbek
100,Gat,IL,50.77,clear sky,31.61,34.7642,OlusHome
104,Wuxue,CN,42.1,light rain,29.8506,115.5525,Wuxue Station Hostel
114,Praxedis Guerrero,MX,51.42,clear sky,31.3667,-106.0167,Congregación placitas de Otero
115,Bethel,US,50.58,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
116,Gazanjyk,TM,43.03,clear sky,39.2446,55.5154,Railway motel
123,Nikolskoye,RU,36.72,light snow,59.7035,30.7861,Tourist House - Sablino
124,Pushkino,RU,26.98,overcast clouds,56.0172,37.8667,Mini Hotel Pushkino
129,Maldegem,BE,39.25,overcast clouds,51.2015,3.4472,Amaryllis
132,Chachapoyas,PE,55.56,moderate rain,-6.2317,-77.869,Teresita
141,Guozhen,CN,36.1,clear sky,34.3659,107.359,Yucai Hotel
144,Te Anau,NZ,49.96,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
150,Takestan,IR,30.33,clear sky,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
157,Ketchikan,US,41.47,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
158,Korla,CN,26.69,broken clouds,41.7597,86.1469,Gulisitan Hotel
162,Havelock,US,59.95,broken clouds,34.8791,-76.9013,Sherwood Motel
165,Haines Junction,CA,39.15,scattered clouds,60.7522,-137.5108,Parkside Inn
166,Oxapampa,PE,59.68,overcast clouds,-10.5775,-75.4017,Hotel Heidinger
168,Chhatarpur,IN,53.29,clear sky,24.9,79.6,Hotel La Capitol
169,Vila,PT,39.33,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
171,Constantine,DZ,40.41,scattered clouds,36.365,6.6147,Grand Hotel Cirta
