City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Atuona,PF,-9.8,-139.0333,77.59,78,11,12.55,light rain
1,Sao Filipe,CV,14.8961,-24.4956,77.32,46,70,20.8,broken clouds
2,Muroto,JP,33.2833,134.15,44.64,76,100,13.96,overcast clouds
3,Chuy,UY,-33.6971,-53.4616,68.36,95,98,8.48,overcast clouds
4,Arraial Do Cabo,BR,-22.9661,-42.0278,74.77,85,43,7.23,scattered clouds
5,Aswan,EG,24.0934,32.907,56.34,51,0,9.35,clear sky
6,Albany,US,42.6001,-73.9662,36.48,66,48,3.0,scattered clouds
7,Port Alfred,ZA,-33.5906,26.891,74.93,93,18,2.26,few clouds
8,Flin Flon,CA,54.7682,-101.865,-4.16,65,40,5.75,scattered clouds
9,Hobart,AU,-42.8794,147.3294,70.23,54,75,19.57,broken clouds
10,Jamestown,US,42.097,-79.2353,22.3,63,100,9.22,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,78.96,71,1,16.71,clear sky
12,Victoria,HK,22.2855,114.1577,65.17,90,99,5.01,overcast clouds
13,Hanzhong,CN,33.0728,107.0303,36.27,75,8,1.83,clear sky
14,Saint George,US,37.1041,-113.5841,70.27,10,0,0.0,clear sky
15,Ambon,ID,-3.6954,128.1814,77.14,94,40,3.44,scattered clouds
16,Sabha,LY,27.0377,14.4283,52.02,31,0,7.58,clear sky
17,Vaini,TO,-21.2,-175.2,86.16,79,20,11.5,few clouds
18,Mataura,NZ,-46.1927,168.8643,51.48,89,98,5.03,overcast clouds
19,Dunedin,NZ,-45.8742,170.5036,50.81,86,100,11.99,light rain
20,Lubumbashi,CD,-11.6609,27.4794,61.03,96,97,1.9,overcast clouds
21,Chokurdakh,RU,70.6333,147.9167,-2.06,95,100,12.82,overcast clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,65.08,75,40,11.5,scattered clouds
23,Yulara,AU,-25.2406,130.9889,78.64,27,0,8.05,clear sky
24,Shahr-E Kord,IR,32.3256,50.8644,35.37,87,75,4.61,broken clouds
25,Busselton,AU,-33.65,115.3333,60.08,71,0,11.86,clear sky
26,Mahebourg,MU,-20.4081,57.7,77.29,94,75,3.44,thunderstorm with light rain
27,Kutum,SD,14.2,24.6667,58.53,18,21,6.8,few clouds
28,Hermanus,ZA,-34.4187,19.2345,67.89,81,100,5.03,overcast clouds
29,Namatanai,PG,-3.6667,152.4333,81.95,74,100,2.21,overcast clouds
30,Viana,BR,-20.3903,-40.4961,75.76,99,100,0.87,overcast clouds
31,Sola,VU,-13.8833,167.55,77.59,86,99,15.14,overcast clouds
32,Provideniya,RU,64.3833,-173.3,-6.66,85,12,3.98,few clouds
33,Upernavik,GL,72.7868,-56.1549,6.73,98,100,7.02,light snow
34,Ushuaia,AR,-54.8,-68.3,47.86,53,20,24.16,few clouds
35,Yakima,US,46.4665,-120.6678,54.55,32,0,5.01,clear sky
36,Mutis,CO,6.2262,-77.4044,78.91,85,96,2.48,light rain
37,Venado Tuerto,AR,-33.7456,-61.9688,66.76,35,0,8.88,clear sky
38,Cabo San Lucas,MX,22.8909,-109.9124,83.5,38,0,8.05,clear sky
39,Qaanaaq,GL,77.484,-69.3632,-19.86,48,0,8.75,clear sky
40,Longyearbyen,SJ,78.2186,15.6401,10.24,72,0,10.36,clear sky
41,Hilo,US,19.7297,-155.09,80.33,67,20,10.36,few clouds
42,Mogadishu,SO,2.0371,45.3438,76.69,79,100,19.69,overcast clouds
43,Khatanga,RU,71.9667,102.5,-17.81,85,67,2.68,broken clouds
44,Punta Arenas,CL,-53.15,-70.9167,53.71,58,75,18.41,broken clouds
45,Cabedelo,BR,-6.9811,-34.8339,81.27,77,38,7.81,scattered clouds
46,Bredasdorp,ZA,-34.5322,20.0403,67.32,77,100,2.3,overcast clouds
47,Butaritari,KI,3.0707,172.7902,82.69,70,99,14.74,overcast clouds
48,Wewak,PG,-3.5534,143.6268,79.63,82,92,4.0,overcast clouds
49,Nedjo,ET,9.5046,35.5019,62.42,57,42,3.29,scattered clouds
50,Tay Ninh,VN,11.3,106.1,75.04,82,53,0.51,broken clouds
51,Tautira,PF,-17.7333,-149.15,87.82,74,94,15.08,light rain
52,Natal,BR,-5.795,-35.2094,83.05,83,40,9.22,scattered clouds
53,Karpogory,RU,64.0019,44.4451,7.92,97,96,4.9,overcast clouds
54,Torbay,CA,47.6666,-52.7314,47.75,80,100,24.16,overcast clouds
55,Ossora,RU,59.2353,163.0719,-10.05,84,11,5.48,few clouds
56,Erdenet,MN,49.0333,104.0833,-17.9,100,99,1.1,overcast clouds
57,Komsomolskiy,UZ,40.4272,71.7189,38.62,93,100,2.3,fog
58,Saint Anthony,US,45.0205,-93.218,5.67,60,100,6.91,overcast clouds
59,Sitka,US,57.0531,-135.33,42.69,81,75,4.61,broken clouds
60,Pisco,PE,-13.7,-76.2167,71.65,73,0,21.85,clear sky
61,Krasnoselkup,RU,65.7,82.4667,-8.23,90,5,12.06,clear sky
62,Constitucion,CL,-35.3333,-72.4167,65.79,66,1,5.75,clear sky
63,Egvekinot,RU,66.3167,-179.1667,-17.25,88,16,6.78,few clouds
64,Hobyo,SO,5.3505,48.5268,76.77,69,96,12.57,overcast clouds
65,Inhambane,MZ,-23.865,35.3833,74.43,76,4,8.5,clear sky
66,Estelle,US,29.8458,-90.1067,69.01,49,75,5.99,broken clouds
67,Norman Wells,CA,65.282,-126.8329,-14.76,76,75,3.44,broken clouds
68,New Norfolk,AU,-42.7826,147.0587,69.89,46,99,4.85,overcast clouds
69,Zhaotong,CN,27.3167,103.7167,29.91,90,98,1.5,light snow
70,Jardim,BR,-21.4803,-56.1381,86.7,38,100,1.41,overcast clouds
71,Niamey,NE,13.5137,2.1098,77.29,15,7,0.0,dust
72,Cape Town,ZA,-33.9258,18.4232,69.89,77,20,18.41,few clouds
73,Avarua,CK,-21.2078,-159.775,78.85,78,20,5.75,few clouds
74,Araouane,ML,18.9048,-3.5265,62.91,17,1,10.65,clear sky
75,Melilla,ES,35.2937,-2.9383,53.98,82,20,1.14,few clouds
76,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.59,93,100,4.61,overcast clouds
77,Gizo,SB,-8.103,156.8419,82.2,70,69,2.68,light rain
78,Yellowknife,CA,62.456,-114.3525,-9.58,82,75,9.22,broken clouds
79,Kalianget,ID,-7.05,113.9333,76.59,87,100,6.73,overcast clouds
80,Maragogi,BR,-9.0122,-35.2225,80.38,77,9,10.65,clear sky
81,Airai,TL,-8.9266,125.4092,62.64,88,82,2.62,broken clouds
82,Ampanihy,MG,-24.7,44.75,73.33,80,0,11.81,clear sky
83,Zavitinsk,RU,50.1167,129.45,-1.08,97,100,7.14,overcast clouds
84,Cidreira,BR,-30.1811,-50.2056,74.98,80,11,21.54,few clouds
85,Kapaa,US,22.0752,-159.319,79.12,71,75,12.66,broken clouds
86,Bluff,NZ,-46.6,168.3333,51.8,72,100,13.13,overcast clouds
87,Hithadhoo,MV,-0.6,73.0833,80.91,71,100,11.63,overcast clouds
88,Barrow,US,71.2906,-156.7887,-29.18,68,75,9.22,broken clouds
89,Alugan,PH,12.2188,125.4808,77.79,86,97,15.17,overcast clouds
90,Codrington,AU,-38.2667,141.9667,81.66,33,88,19.19,overcast clouds
91,Ylivieska,FI,64.0833,24.55,14.32,100,94,3.76,overcast clouds
92,Valdosta,US,30.8327,-83.2785,60.71,77,75,0.0,broken clouds
93,Dikson,RU,73.5069,80.5464,-4.63,89,100,26.71,overcast clouds
94,Atherton,GB,53.5237,-2.4935,47.75,92,100,4.0,overcast clouds
95,Talnakh,RU,69.4865,88.3972,-9.0,78,16,9.33,few clouds
96,Termiz,UZ,37.2242,67.2783,41.09,70,0,6.91,clear sky
97,Chengde,CN,40.9725,117.9361,18.05,72,96,3.44,overcast clouds
98,San Cristobal,VE,7.7669,-72.225,73.58,62,88,1.57,overcast clouds
99,Beringovskiy,RU,63.05,179.3167,-19.39,91,9,7.14,clear sky
100,Gat,IL,31.61,34.7642,50.77,100,0,0.67,clear sky
101,Saldanha,ZA,-33.0117,17.9442,66.25,89,92,15.32,overcast clouds
102,Oriximina,BR,-1.7656,-55.8661,74.98,94,81,2.84,broken clouds
