City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Xai-Xai,MZ,2022-02-12 20:24:33,-25.0519,33.6442,74.23,79,0,7.83
1,Talnakh,RU,2022-02-12 20:24:33,69.4865,88.3972,-8.59,79,14,9.42
2,Ushuaia,AR,2022-02-12 20:24:33,-54.8,-68.3,47.86,53,40,42.57
3,Butaritari,KI,2022-02-12 20:24:34,3.0707,172.7902,82.8,69,98,15.86
4,Saint George,US,2022-02-12 20:20:30,37.1041,-113.5841,68.47,15,0,4.61
5,Lagoa,PT,2022-02-12 20:24:34,39.05,-27.9833,60.26,88,99,21.81
6,Puerto Colombia,CO,2022-02-12 20:24:34,10.9878,-74.9547,87.89,68,9,23.44
7,Abha,SA,2022-02-12 20:20:03,18.2164,42.5053,55.65,82,0,5.75
8,New Norfolk,AU,2022-02-12 20:24:34,-42.7826,147.0587,57.92,67,100,3.33
9,Qaanaaq,GL,2022-02-12 20:24:35,77.484,-69.3632,-20.67,48,0,8.48
10,Carnarvon,AU,2022-02-12 20:20:26,-24.8667,113.6333,84.27,61,75,8.05
11,Salalah,OM,2022-02-12 20:24:35,17.0151,54.0924,75.29,64,75,6.91
12,Mariel,CU,2022-02-12 20:24:35,22.9875,-82.7536,84.34,72,18,11.16
13,Bethel,US,2022-02-12 20:23:26,41.3712,-73.414,56.3,45,0,11.5
14,Adrar,MR,2022-02-12 20:24:36,20.5022,-10.0711,67.89,19,48,9.57
15,Comodoro Rivadavia,AR,2022-02-12 20:23:40,-45.8667,-67.5,85.86,23,0,13.8
16,Walvis Bay,NA,2022-02-12 20:24:36,-22.9575,14.5053,71.1,83,83,2.3
17,Rikitea,PF,2022-02-12 20:24:36,-23.1203,-134.9692,78.96,70,1,16.04
18,Carrick-On-Suir,IE,2022-02-12 20:24:36,52.3492,-7.4131,49.55,96,100,7.16
19,Antalaha,MG,2022-02-12 20:24:37,-14.9003,50.2788,73.94,90,40,5.35
20,Jabinyanah,TN,2022-02-12 20:24:37,35.035,10.9081,55.2,82,4,7.02
21,Isangel,VU,2022-02-12 20:24:37,-19.55,169.2667,77.11,88,75,0.0
22,Yavatmal,IN,2022-02-12 20:24:37,20.4,78.1333,65.23,25,84,4.52
23,Punta Arenas,CL,2022-02-12 20:24:38,-53.15,-70.9167,57.31,44,40,31.07
24,Evensk,RU,2022-02-12 20:24:38,61.95,159.2333,-12.42,75,19,6.98
25,Flin Flon,CA,2022-02-12 20:23:47,54.7682,-101.865,-4.16,54,0,6.91
26,Kapaa,US,2022-02-12 20:20:24,22.0752,-159.319,77.18,72,40,9.22
27,Bluff,NZ,2022-02-12 20:24:38,-46.6,168.3333,51.8,70,100,12.95
28,Nanortalik,GL,2022-02-12 20:24:39,60.1432,-45.2371,30.06,98,100,7.85
29,College,US,2022-02-12 20:24:39,64.8569,-147.8028,-3.78,74,75,0.0
30,Waw,SS,2022-02-12 20:24:39,7.7029,27.9953,80.29,20,10,5.39
31,Hami,CN,2022-02-12 20:24:39,42.8,93.45,27.95,52,82,0.89
32,Arraial Do Cabo,BR,2022-02-12 20:24:40,-22.9661,-42.0278,76.86,88,75,6.91
33,Hasaki,JP,2022-02-12 20:24:40,35.7333,140.8333,27.0,62,64,5.14
34,Gumdag,TM,2022-02-12 20:24:40,39.2061,54.5906,44.24,55,0,7.0
35,Vaini,TO,2022-02-12 20:22:59,-21.2,-175.2,82.56,83,20,9.22
36,Busselton,AU,2022-02-12 20:23:49,-33.65,115.3333,56.08,76,0,12.03
37,Port Alfred,ZA,2022-02-12 20:24:40,-33.5906,26.891,75.61,92,5,12.91
38,Mount Gambier,AU,2022-02-12 20:24:41,-37.8333,140.7667,62.51,67,66,10.36
39,Mataura,NZ,2022-02-12 20:24:41,-46.1927,168.8643,51.48,91,96,3.42
40,Hilo,US,2022-02-12 20:20:33,19.7297,-155.09,78.53,64,75,5.01
41,Lorengau,PG,2022-02-12 20:24:41,-2.0226,147.2712,80.42,77,100,2.68
42,Jaguarari,BR,2022-02-12 20:24:42,-10.2639,-40.1958,82.44,50,44,6.87
43,Ugoofaaru,MV,2022-02-12 20:20:22,5.6667,73.0,80.74,75,100,4.16
44,Bengkulu,ID,2022-02-12 20:24:42,-3.8004,102.2655,75.51,85,89,4.81
45,Vila Franca Do Campo,PT,2022-02-12 20:24:42,37.7167,-25.4333,63.19,84,100,10.0
46,Asau,RO,2022-02-12 20:24:42,46.4333,26.4,27.39,92,90,2.37
47,Urubicha,BO,2022-02-12 20:25:43,-15.3833,-62.95,76.24,97,100,5.06
48,Puerto Ayora,EC,2022-02-12 20:25:43,-0.7393,-90.3518,85.96,85,97,5.01
49,Talca,CL,2022-02-12 20:25:27,-35.4333,-71.6667,94.71,11,0,13.58
50,Teknaf,BD,2022-02-12 20:25:43,20.8624,92.3058,60.33,60,100,11.23
51,Beringovskiy,RU,2022-02-12 20:25:43,63.05,179.3167,-26.01,95,11,7.36
52,Thompson,CA,2022-02-12 20:21:44,55.7435,-97.8558,-5.64,49,0,6.91
53,Montbrison,FR,2022-02-12 20:25:44,45.6667,4.0833,39.54,78,100,5.53
54,Victoria,HK,2022-02-12 20:25:15,22.2855,114.1577,65.32,90,97,8.99
55,East London,ZA,2022-02-12 20:25:44,-33.0153,27.9116,76.78,88,0,10.58
56,Allahabad,IN,2022-02-12 20:25:44,25.45,81.85,52.18,51,0,2.95
57,Sitka,US,2022-02-12 20:25:45,57.0531,-135.33,42.69,81,75,8.05
58,Vostok,RU,2022-02-12 20:25:45,46.4856,135.8833,1.26,99,100,2.51
59,Panaba,MX,2022-02-12 20:25:45,21.2833,-88.2667,83.62,60,72,6.73
60,Klaksvik,FO,2022-02-12 20:25:45,62.2266,-6.589,38.32,88,100,6.64
61,Saskylakh,RU,2022-02-12 20:25:46,71.9167,114.0833,0.03,75,61,11.72
62,Harper,LR,2022-02-12 20:25:46,4.375,-7.7169,78.58,84,6,7.43
63,Atar,MR,2022-02-12 20:25:46,20.5169,-13.0499,72.57,20,16,9.73
64,Atuona,PF,2022-02-12 20:25:46,-9.8,-139.0333,77.68,78,4,13.91
65,Arandis,NA,2022-02-12 20:25:47,-22.4167,14.9667,64.47,80,100,6.76
66,Petropavlovsk-Kamchatskiy,RU,2022-02-12 20:25:47,53.0452,158.6483,0.19,71,75,2.24
67,Faanui,PF,2022-02-12 20:25:47,-16.4833,-151.75,81.21,73,99,14.76
68,Yumen,CN,2022-02-12 20:25:47,40.2833,97.2,24.35,51,100,7.18
69,Rafai,CF,2022-02-12 20:25:48,4.95,23.9167,78.06,29,100,1.3
70,Lasa,IT,2022-02-12 20:25:48,46.6166,10.7002,31.46,50,19,1.57
71,Ontario,US,2022-02-12 20:25:48,34.0633,-117.6509,86.81,10,20,10.36
72,Upernavik,GL,2022-02-12 20:25:48,72.7868,-56.1549,-3.24,97,100,11.63
73,Manali,IN,2022-02-12 20:25:49,13.1667,80.2667,80.08,78,6,7.65
74,Mar Del Plata,AR,2022-02-12 20:25:49,-38.0023,-57.5575,66.22,68,40,18.41
75,Hermanus,ZA,2022-02-12 20:25:49,-34.4187,19.2345,68.81,84,100,3.49
76,Usinsk,RU,2022-02-12 20:25:49,65.9939,57.5281,7.29,95,100,16.44
77,Tela,HN,2022-02-12 20:25:50,15.7833,-87.45,90.09,84,40,6.91
78,Airai,TL,2022-02-12 20:25:50,-8.9266,125.4092,58.69,92,76,2.3
79,Tuatapere,NZ,2022-02-12 20:25:29,-46.1333,167.6833,51.82,78,100,6.17
80,Ahipara,NZ,2022-02-12 20:25:50,-35.1667,173.1667,66.22,85,100,23.13
81,Jamestown,US,2022-02-12 20:25:51,42.097,-79.2353,29.52,63,100,10.36
82,Kostomuksha,RU,2022-02-12 20:25:51,64.571,30.5767,2.08,100,94,4.09
83,Woodstock,CA,2022-02-12 20:25:51,43.1334,-80.7497,22.66,80,100,7.0
84,Kutum,SD,2022-02-12 20:25:51,14.2,24.6667,62.64,14,43,7.85
85,Sidi Ali,DZ,2022-02-12 20:25:52,36.0998,0.4206,49.3,86,2,4.68
86,Noumea,NC,2022-02-12 20:25:52,-22.2763,166.4572,80.01,99,95,2.48
87,Yeppoon,AU,2022-02-12 20:25:52,-23.1333,150.7333,69.58,75,71,16.24
88,North Platte,US,2022-02-12 20:25:53,41.1239,-100.7654,41.99,24,20,13.8
89,Cape Town,ZA,2022-02-12 20:25:53,-33.9258,18.4232,70.09,80,0,14.97
90,Fortuna,US,2022-02-12 20:25:53,40.5982,-124.1573,68.94,65,20,1.01
91,Kysyl-Syr,RU,2022-02-12 20:25:53,63.8986,122.7617,-24.16,100,100,2.48
92,Derzhavinsk,KZ,2022-02-12 20:25:54,51.1,66.3167,25.34,96,100,17.18
93,Bermeo,ES,2022-02-12 20:25:54,43.4209,-2.7215,54.25,78,94,1.54
94,Leningradskiy,RU,2022-02-12 20:26:44,69.3833,178.4167,-19.14,97,98,4.14
95,Kodiak,US,2022-02-12 20:26:54,57.79,-152.4072,38.71,70,0,3.44
96,Khandyga,RU,2022-02-12 20:26:54,62.6667,135.6,-41.04,100,98,2.3
97,Lesnoy,RU,2022-02-12 20:26:55,57.6198,63.0784,-1.07,100,98,4.0
98,Nikolskoye,RU,2022-02-12 20:26:55,59.7035,30.7861,35.71,97,100,11.92
99,Pacific Grove,US,2022-02-12 20:23:00,36.6177,-121.9166,83.16,38,0,5.75
100,Aklavik,CA,2022-02-12 20:26:55,68.2191,-135.0107,-15.77,68,75,4.61
101,Olafsvik,IS,2022-02-12 20:26:55,64.8945,-23.7142,26.78,71,35,18.7
102,Samarai,PG,2022-02-12 20:26:56,-10.6167,150.6667,80.49,69,89,8.68
103,Avarua,CK,2022-02-12 20:26:56,-21.2078,-159.775,82.45,74,100,5.75
104,Dikson,RU,2022-02-12 20:26:56,73.5069,80.5464,-2.92,78,100,26.93
105,Broken Hill,AU,2022-02-12 20:24:18,-31.95,141.4333,73.11,33,8,10.36
106,Yenagoa,NG,2022-02-12 20:26:56,4.9247,6.2642,81.37,70,97,7.4
107,Batagay,RU,2022-02-12 20:26:57,67.6333,134.6333,-33.27,97,70,3.0
108,Tuktoyaktuk,CA,2022-02-12 20:26:57,69.4541,-133.0374,-27.4,68,40,6.91
109,Yellowknife,CA,2022-02-12 20:26:57,62.456,-114.3525,-12.71,82,75,3.44
110,Torbay,CA,2022-02-12 20:26:58,47.6666,-52.7314,45.57,79,100,17.27
111,Ancud,CL,2022-02-12 20:26:58,-41.8697,-73.8203,81.23,63,77,5.79
112,Guerrero Negro,MX,2022-02-12 20:26:58,27.9769,-114.0611,74.5,29,100,2.95
113,Champerico,GT,2022-02-12 20:26:58,14.3,-91.9167,95.54,54,2,10.49
114,Teya,RU,2022-02-12 20:23:04,60.3778,92.6267,-16.92,100,40,2.1
115,Abaete,BR,2022-02-12 20:24:50,-19.16,-45.4458,71.69,90,93,6.31
116,Bilibino,RU,2022-02-12 20:26:59,68.0546,166.4372,-28.57,100,100,1.1
117,Xilitla,MX,2022-02-12 20:26:59,21.3333,-98.9667,78.15,50,99,8.3
118,Kahului,US,2022-02-12 20:22:38,20.8947,-156.47,80.62,65,20,14.97
119,Cherskiy,RU,2022-02-12 20:24:22,68.75,161.3,-20.69,98,100,10.22
120,Mayo,US,2022-02-12 20:26:59,38.8876,-76.5119,61.21,47,0,8.99
121,Fuxin,CN,2022-02-12 20:26:59,42.0156,121.6589,8.92,81,6,6.42
122,Khatanga,RU,2022-02-12 20:26:47,71.9667,102.5,-19.05,90,30,4.83
123,Albany,US,2022-02-12 20:27:00,42.6001,-73.9662,46.15,55,55,3.0
124,Cumana,VE,2022-02-12 20:27:00,10.4635,-64.1775,73.49,57,65,18.7
125,Bati,ET,2022-02-12 20:27:00,11.1833,40.0167,67.44,63,60,4.56
126,Longyearbyen,SJ,2022-02-12 20:27:01,78.2186,15.6401,10.24,72,0,11.5
127,Barinas,VE,2022-02-12 20:27:01,8.6226,-70.2075,100.44,30,77,4.61
128,Norman Wells,CA,2022-02-12 20:27:01,65.282,-126.8329,-16.56,69,75,4.61
129,Kargopol,RU,2022-02-12 20:27:01,61.5071,38.9456,19.26,95,100,7.31
130,Russell,US,2022-02-12 20:27:02,32.3502,-85.1999,71.96,33,0,4.61
131,Kodinsk,RU,2022-02-12 20:27:02,58.6881,99.1844,-20.72,100,26,1.92
132,Ndele,CF,2022-02-12 20:27:02,8.4109,20.6473,78.64,17,73,6.26
133,Torit,SS,2022-02-12 20:27:02,4.4133,32.5678,89.46,24,70,4.0
134,Barrow,US,2022-02-12 20:27:03,71.2906,-156.7887,-29.18,100,100,8.05
135,Gamboma,CG,2022-02-12 20:27:03,-1.8764,15.8644,78.03,70,29,3.6
136,Byron Bay,AU,2022-02-12 20:27:03,-28.65,153.6167,67.05,69,88,13.56
137,Macenta,GN,2022-02-12 20:27:04,8.5435,-9.471,74.3,19,25,3.47
138,Tombouctou,ML,2022-02-12 20:27:04,20.0,-3.0,65.7,15,0,9.95
